기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,자본,부채,CAPEX,매출액,영업이익,당기순이익
(주) 디이에스,01824355,1101110939951.0,2023,20080904,29271,,0,,,0,0,0,,,,,,,
(주) 아이에스티,00592875,1101110921323.0,2023,19990901,72129,,0,,,0,0,0,,,,,,,
(주) 아인스시스템,00872902,1101111631070.0,2023,19990108,46510,,0,,,0,0,0,,,,,,,
(주) 에스 이 티,01016035,,2023,20010926,63112,,0,,,0,0,0,,,,,,,
(주) 에스제이케이,00366793,1101111259484.0,2023,19950209,467,,0,,,0,0,0,,,,,,,
(주) 코미코,00997812,1211110309956.0,2023,20130813,29271,,0,,,710,710,0,593902816913,287980197096,305922619817,32876785043,307266896921,33028446745,45511244117
(주) 포톤,01047707,1101111724271.0,2023,20141023,262,,0,,,38,38,0,108150223468,57532194409,50618029059,2688268308,123469141449,-3261884829,-13725866240
(주)경인양행,00102113,1101112148131.0,2023,19771014,20132,,0,,,530,512,18,538955972428,251693304847,287262667581,28987239090,345408240080,-2247161467,-9742504993
(주)광성테크,01416536,1201110449323.0,2023,20170817,25922,,0,,,0,0,0,,,,,,,
(주)구비테크,01154706,1648110088331.0,2023,20110701,26519,,0,,,0,0,0,,,,,,,
(주)그린테크놀로지,00817613,1101112481242.0,2023,20031208,2611,,0,,,0,0,0,,,,,,,
(주)글로벌엔지니어링,01560138,1101114335398.0,2023,20010206,27216,,0,,,0,0,0,,,,,,,
(주)금륜,01296084,1101111971012.0,2023,20100810,38,,0,,,0,0,0,,,,,,,
(주)기연,00843496,1101110126816.0,2023,20070322,28303,,0,,,0,0,0,,,,,,,
(주)나노에이스,01017496,1615110088827.0,2023,20070425,26,,0,,,0,0,0,,,,,,,
(주)나노엑스,01599176,1345110479649.0,2023,20171226,29272,,0,,,0,0,0,,,,,,,
(주)나노테크,01071494,1101112721911.0,2023,19990901,25911,,0,,,0,0,0,,,,,,,
(주)나노텍,00631271,1101110560410.0,2023,20020827,28902,,0,,,0,0,0,,,,,,,
(주)나인텍,01301492,1101111419343.0,2023,20000724,25924,,0,,,0,0,0,,,,,,,
(주)남원정공,01628380,1355110282900.0,2023,20150701,29271,,0,,,0,0,0,,,,,,,
(주)네올,00472951,1101110719108.0,2023,19900920,59141,,0,,,0,0,0,,,,,,,
(주)네패스,00227333,1101111474389.0,2023,19901227,261,,0,,,1083,952,131,963118457710,283166320172,679952137538,320584700,480111639417,-70002734472,-109458165882
(주)넥사,01956733,1101113867821.0,2023,20250901,68224,,0,,,0,0,0,,,,,,,
(주)넥스틴,01080252,1344110044981.0,2023,20100623,29271,,0,,,119,119,0,142961730739,127009095062,15952635677,16620048050,87930571023,36165536410,30933600268
(주)뉴파워프라즈마,00521390,1101111784952.0,2023,19991007,29271,,0,,,335,335,0,673625027298,277200025906,396425001392,21917068583,350666770950,16088546345,16264716420
(주)다산,00637956,1101110174914.0,2023,20041231,29172,,0,,,0,0,0,,,,,,,
(주)대성하이텍,01160859,1211110163336.0,2023,20071101,22299,,0,,,0,0,0,,,,,,,
(주)대신테크,01073191,1101111217581.0,2023,20040923,30,,0,,,0,0,0,,,,,,,
(주)대영테크,00453169,1101110774855.0,2023,19970610,46492,,0,,,0,0,0,,,,,,,
(주)대원에프엔씨,00579953,1101112183236.0,2023,20010302,29271,,0,,,0,0,0,,,,,,,
(주)도우인시스,01380578,1501110134952.0,2023,20100325,26211,,0,,,0,0,0,,,,,,,
(주)동원파츠,00784184,1101111420746.0,2023,19970615,29271,,0,,,0,0,0,,,,,,,
(주)동원하이텍,00968528,1201110625858.0,2023,20120905,2629,,0,,,0,0,0,,,,,,,
(주)동진쎄미켐,00118804,1201110003848.0,2023,19730710,20129,,0,,,1387,1357,30,1606588027004,835481646771,771106380233,282834143234,1309924437990,176174316058,123534360586
(주)두원테크,00366535,1101111644403.0,2023,19980207,28519,,0,,,0,0,0,,,,,,,
(주)드림솔,01808375,1101111349178.0,2023,20081126,29271,,0,,,0,0,0,,,,,,,
(주)디바이스,00624509,1101110656970.0,2023,20021001,29271,,0,,,161,161,0,182603983732,138504394586,44099589146,30783207100,57152091930,4309204331,7197193606
(주)디스텍,01552777,1101111154957.0,2023,20080808,2629,,0,,,0,0,0,,,,,,,
(주)디에프텍,00505046,1101112564866.0,2023,20020710,33999,,0,,,0,0,0,,,,,,,
(주)라온테크,01463668,1101111257339.0,2023,20160225,25924,,0,,,0,0,0,,,,,,,
(주)라온텍,00965512,1101114285684.0,2023,20091013,262,,0,,,57,57,0,,,,,,,
(주)랩터,01950410,1101112255754.0,2023,20220603,64999,,0,,,0,0,0,,,,,,,
(주)루켄테크놀러지스,00886792,1348110145822.0,2023,20071002,289,,0,,,114,114,0,,,,,,,
(주)리더스앤글로벌,01923656,1348110262288.0,2023,20130129,29271,,0,,,0,0,0,,,,,,,
(주)리빙케어,01834653,1101114973601.0,2023,20090101,28909,,0,,,0,0,0,,,,,,,
(주)린텍,01652873,1101110159437.0,2023,20100607,26129,,0,,,0,0,0,,,,,,,
(주)메티스,00607274,1101111860918.0,2023,19990723,29271,,0,,,0,0,0,,,,,,,
(주)무진산업,01376432,1158110001605.0,2023,20130703,29291,,0,,,0,0,0,,,,,,,
(주)바맥스,00621104,1101112485450.0,2023,19960724,2612,,0,,,0,0,0,,,,,,,
(주)바코솔루션,01832804,1348110387713.0,2023,20161108,29271,,0,,,0,0,0,,,,,,,
(주)밸류엔지니어링,01350489,1101111671133.0,2023,19990401,29271,,0,,,0,0,0,,,,,,,
(주)보부하이테크,00611268,1101111019987.0,2023,19940317,29271,,0,,,0,0,0,,,,,,,
(주)브이에스아이,00976235,1355110266772.0,2023,19991220,292,,0,,,0,0,0,,,,,,,
(주)비츠로셀,00154718,1101110548771.0,2023,19871031,28201,,0,,,398,394,4,256291153047,231746217967,24544935080,9988954861,176220480964,37690323911,36054568905
(주)상아프론테크,00181299,1201110038209.0,2023,19860321,222,,0,,,491,470,21,348952307806,193026085627,155926222179,28787837651,183599147402,8958369872,11994182126
(주)선익시스템,00327819,1101110700555.0,2023,19900524,292,,0,,,184,180,4,134777562565,70872953417,63904609148,1676461068,62412802428,-4057386187,-9230697152
(주)성우,00132974,1101110029680.0,2023,19810407,13213,,0,,,0,0,0,,,,,,,
(주)세다,00621502,1101110032469.0,2023,20000306,42,,0,,,0,0,0,,,,,,,
(주)세미즈,01450187,1358110159971.0,2023,20081124,29271,,0,,,0,0,0,,,,,,,
(주)세코닉스,00351630,1158110006449.0,2023,19881224,273,,0,,,672,604,68,285476007712,123265087134,162210920578,19748618764,502361137353,16166026744,11379208943
(주)셀코스,01024308,1101114587395.0,2023,20070115,29272,,0,,,0,0,0,,,,,,,
(주)셈텍,01212578,1101117870630.0,2023,20001107,292,,0,,,0,0,0,,,,,,,
(주)솔리더스,00546308,1101112243535.0,2023,20010521,68122,,0,,,0,0,0,,,,,,,
(주)스카,00446071,1101110034176.0,2023,19991220,55101,,0,,,0,0,0,,,,,,,
(주)시트라,01828698,1101111067944.0,2023,20200201,31322,,0,,,0,0,0,,,,,,,
(주)신안시스템,01409776,1201110340290.0,2023,20110101,29271,,0,,,0,0,0,,,,,,,
(주)신일테크,01297320,1101114198035.0,2023,20170808,68112,,0,,,0,0,0,,,,,,,
(주)싸이맥스,00659161,1311110153525.0,2023,20051202,29271,,0,,,205,199,6,212603989112,162525409117,50078579995,515307987,156626583125,7112986673,11826612218
(주)쎄미하우,00655174,1211110098608.0,2023,20020712,2612,,0,,,0,0,0,,,,,,,
(주)쎌텍,01828795,1101111884728.0,2023,20160429,26224,,0,,,0,0,0,,,,,,,
(주)쏘닉스,00561723,1341110078407.0,2023,20001024,26129,,0,,,77,77,0,,,,,,,
(주)씨앤아이테크놀로지,01174922,1341110234017.0,2023,20100321,29271,,0,,,0,0,0,,,,,,,
(주)씨에스케이,00594299,1101111622524.0,2023,19970725,29271,,0,,,0,0,0,,,,,,,
(주)씨에스피,00451879,1101111631575.0,2023,19980512,13211,,0,,,0,0,0,,,,,,,
(주)씨엠티엑스,01529982,2841110111983.0,2023,20130118,26299,,0,,,0,0,0,,,,,,,
(주)씨티에스,01225633,1101110174815.0,2023,20030605,29272,,0,,,0,0,0,,,,,,,
(주)아론,00818010,1101110917819.0,2023,20000711,29271,,0,,,0,0,0,,,,,,,
(주)아센디아,01011386,1345110118859.0,2023,20071017,29271,,0,,,0,0,0,,,,,,,
(주)아이비스,01745191,1101110949416.0,2023,20100222,58221,,0,,,0,0,0,,,,,,,
(주)아이엔에스,00415725,1101110175467.0,2023,19990920,58221,,0,,,0,0,0,,,,,,,
(주)아이컴포넌트,00407285,1301110060490.0,2023,20000512,26211,,0,,,111,111,0,,,,,,,
(주)알파플러스,01130566,1101113235375.0,2023,20000510,29272,,0,,,0,0,0,,,,,,,
(주)애플티,01376025,1311110119204.0,2023,20040626,29271,,0,,,0,0,0,,,,,,,
(주)앤피에스,01471870,1101112244575.0,2023,20180501,26299,,0,,,0,0,0,,,,,,,
(주)에스아이,00247665,1101110088420.0,2023,19840516,68112,,0,,,0,0,0,,,,,,,
(주)에스앤에스텍,00411048,1101115817402.0,2023,20010222,2629,,0,,,283,283,0,256758748753,220798777193,35959971560,21107977043,150320408224,25039402690,25854851119
(주)에스에스피,00859053,1101111503451.0,2023,19960620,29271,,0,,,0,0,0,,,,,,,
(주)에스에이엠,00416432,1101110707674.0,2023,20000515,68112,,0,,,0,0,0,,,,,,,
(주)에스엔에프,00968847,1101110506216.0,2023,20060501,3399,,0,,,0,0,0,,,,,,,
(주)에스엠랩,01475274,2301110296432.0,2023,20180706,28202,,0,,,74,74,0,,,,,,,
(주)에스엠아이,00511959,1101110651904.0,2023,19890928,46741,,0,,,0,0,0,,,,,,,
(주)에스엠티,00960119,1101110838461.0,2023,20030701,4791,,0,,,0,0,0,,,,,,,
(주)에스와이텍,01412770,1101113267500.0,2023,20181204,29299,,0,,,0,0,0,,,,,,,
(주)에스이아이,00281739,1101111743990.0,2023,19990729,64201,,0,,,0,0,0,,,,,,,
(주)에스피반도체통신,00263168,1211110066499.0,2023,19990330,2612,,0,,,244,235,9,,,,,,,
(주)에이씨에스,00489924,1101111583536.0,2023,20031213,30,,0,,,0,0,0,,,,,,,
(주)에이알케이,01382965,1101112046369.0,2023,20170901,71531,,0,,,0,0,0,,,,,,,
(주)에이앤아이,00611310,1101111183021.0,2023,20000131,29271,,0,,,0,0,0,,,,,,,
(주)에이엠에스티,00552628,1101111604043.0,2023,19981105,2612,,0,,,0,0,0,,,,,,,
(주)에이치앤이루자,00975546,1601110225361.0,2023,20070525,29272,,0,,,0,0,0,,,,,,,
(주)에이치에스테크놀로지,01279838,1101110162802.0,2023,20110610,261,,0,,,0,0,0,,,,,,,
(주)에이티에스,01402287,1101110514441.0,2023,20161117,28202,,0,,,0,0,0,,,,,,,
(주)에코앤드림,00619640,1101113085598.0,2023,20040916,204,,0,,,100,96,4,154242178124,100890203969,53351974155,32650926175,51455287308,-2967415404,-10150669449
(주)에코파워팩,01860755,1101116241725.0,2023,20161129,28202,,0,,,0,0,0,,,,,,,
(주)에프에스티,00223434,1101110546006.0,2023,19870929,2629,,0,,,737,724,13,408834879367,239774504268,169060375099,30455644818,197608619262,-10782402895,-18103402115
(주)에프테크놀로지,00584274,1101111957195.0,2023,20040726,26211,,0,,,0,0,0,,,,,,,
(주)엑시콘,00611736,1311110058402.0,2023,20010308,29271,,0,,,250,250,0,165985171232,145957832632,20027338600,4210074509,82296331600,1464663636,4886128432
(주)엔씨켐,00863533,1101114636639.0,2023,20080306,20499,,0,,,0,0,0,,,,,,,
(주)엔지온,00962269,1244110089476.0,2023,20030801,2612,,0,,,0,0,0,,,,,,,
(주)엔켐,01011526,1101111722803.0,2023,20120216,20119,,0,,,429,395,34,862895279401,286448635301,576446644100,112879711195,424691399327,3047263237,-50092754334
(주)엔티에스,01461262,1101110800254.0,2023,20120327,72129,,0,,,0,0,0,,,,,,,
(주)엘앤에프,00398701,1101110665608.0,2023,20000727,28202,,0,,,1782,1782,0,3351444610588,,2241456006787,482016761989,4644090367589,-222296651919,-194922089742
(주)엘에이티,01361245,1201110376633.0,2023,20170919,29272,,0,,,53,53,0,,,,,,,
(주)엘케이엔지니어링,01284441,1311110326700.0,2023,20110303,29271,,0,,,0,0,0,,,,,,,
(주)엘콤,01208973,1101111172793.0,2023,20070201,28202,,0,,,0,0,0,,,,,,,
(주)엠에스텍,01156661,1101111507560.0,2023,19991101,27214,,0,,,0,0,0,,,,,,,
(주)엠엑스앤,01230219,1358110210848.0,2023,20120326,29271,,0,,,0,0,0,,,,,,,
(주)엠케이테크,01736829,1101111889695.0,2023,20010522,29293,,0,,,0,0,0,,,,,,,
(주)엠플러스,00784713,1101110663769.0,2023,20071004,46522,,0,,,0,0,0,,,,,,,
(주)영상테크,01652518,1101112190819.0,2023,20010312,42321,,0,,,0,0,0,,,,,,,
(주)예리코코리아,01817498,1311110239903.0,2023,20090923,29271,,0,,,0,0,0,,,,,,,
(주)예스히팅테크닉스,01545865,1313110095096.0,2023,20100113,29271,,0,,,0,0,0,,,,,,,
(주)예승이엔지,01636097,1314110249485.0,2023,20101101,29271,,0,,,0,0,0,,,,,,,
