기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,자본,부채,CAPEX,영업이익,당기순이익,매출액
(주) 디이에스,01824355,1101110939951.0,2024,20080904,29271,,0,,,0,0,0,,,,,,,
(주) 아이에스티,00592875,1101110921323.0,2024,19990901,72129,,0,,,0,0,0,,,,,,,
(주) 아인스시스템,00872902,1101111631070.0,2024,19990108,46510,,0,,,0,0,0,,,,,,,
(주) 에스 이 티,01016035,,2024,20010926,63112,,0,,,0,0,0,,,,,,,
(주) 에스제이케이,00366793,1101111259484.0,2024,19950209,467,,0,,,0,0,0,,,,,,,
(주) 코미코,00997812,1211110309956.0,2024,20130813,29271,,0,,,767,767,0,800342522976,375718062479,424624460497,153372481050,112461653836,87845843289,
(주) 포톤,01047707,1101111724271.0,2024,20141023,262,,0,,,36,36,0,98898606681,53849624313,45048982368,6071270892,-3415404843,-9610856320,135706326881
(주)경인양행,00102113,1101112148131.0,2024,19771014,20132,,0,,,484,470,14,544969281413,265424410500,279544870913,24273790891,24226048531,16247818016,374231082201
(주)광성테크,01416536,1201110449323.0,2024,20170817,25922,,0,,,0,0,0,,,,,,,
(주)구비테크,01154706,1648110088331.0,2024,20110701,26519,,0,,,0,0,0,,,,,,,
(주)그린테크놀로지,00817613,1101112481242.0,2024,20031208,2611,,0,,,0,0,0,,,,,,,
(주)글로벌엔지니어링,01560138,1101114335398.0,2024,20010206,27216,,0,,,0,0,0,,,,,,,
(주)금륜,01296084,1101111971012.0,2024,20100810,38,,0,,,0,0,0,,,,,,,
(주)기연,00843496,1101110126816.0,2024,20070322,28303,,0,,,0,0,0,,,,,,,
(주)나노에이스,01017496,1615110088827.0,2024,20070425,26,,0,,,0,0,0,,,,,,,
(주)나노엑스,01599176,1345110479649.0,2024,20171226,29272,,0,,,0,0,0,,,,,,,
(주)나노테크,01071494,1101112721911.0,2024,19990901,25911,,0,,,0,0,0,,,,,,,
(주)나노텍,00631271,1101110560410.0,2024,20020827,28902,,0,,,0,0,0,,,,,,,
(주)나인텍,01301492,1101111419343.0,2024,20000724,25924,,0,,,0,0,0,,,,,,,
(주)남원정공,01628380,1355110282900.0,2024,20150701,29271,,0,,,0,0,0,,,,,,,
(주)네올,00472951,1101110719108.0,2024,19900920,59141,,0,,,0,0,0,,,,,,,
(주)네패스,00227333,1101111474389.0,2024,19901227,261,,0,,,1101,964,137,710112535938,207236457987,502876077951,31403672292,3401796348,-79400160862,464331506206
(주)넥사,01956733,1101113867821.0,2024,20250901,68224,,0,,,0,0,0,,,,,,,
(주)넥스틴,01080252,1344110044981.0,2024,20100623,29271,,0,,,131,131,0,189816880876,157640068434,32176812442,14735599767,46974727733,38427640891,113719875873
(주)뉴파워프라즈마,00521390,1101111784952.0,2024,19991007,29271,,0,,,351,351,0,941823497922,379609987265,562213510657,42160104842,26128372234,22288000030,519836396500
(주)다산,00637956,1101110174914.0,2024,20041231,29172,,0,,,0,0,0,,,,,,,
(주)대성하이텍,01160859,1211110163336.0,2024,20071101,22299,,0,,,0,0,0,,,,,,,
(주)대신테크,01073191,1101111217581.0,2024,20040923,30,,0,,,0,0,0,,,,,,,
(주)대영테크,00453169,1101110774855.0,2024,19970610,46492,,0,,,0,0,0,,,,,,,
(주)대원에프엔씨,00579953,1101112183236.0,2024,20010302,29271,,0,,,0,0,0,,,,,,,
(주)도우인시스,01380578,1501110134952.0,2024,20100325,26211,,0,,,0,0,0,,,,,,,
(주)동원파츠,00784184,1101111420746.0,2024,19970615,29271,,0,,,0,0,0,,,,,,,
(주)동원하이텍,00968528,1201110625858.0,2024,20120905,2629,,0,,,0,0,0,,,,,,,
(주)동진쎄미켐,00118804,1201110003848.0,2024,19730710,20129,,0,,,1450,1413,37,2016989003189,1020430600571,996558402618,171878113317,208225729660,143484559745,1408144175958
(주)두원테크,00366535,1101111644403.0,2024,19980207,28519,,0,,,0,0,0,,,,,,,
(주)드림솔,01808375,1101111349178.0,2024,20081126,29271,,0,,,0,0,0,,,,,,,
(주)디바이스,00624509,1101110656970.0,2024,20021001,29271,,0,,,164,164,0,203868138548,143741011759,60127126789,27556917944,4222154950,,47160162301
(주)디스텍,01552777,1101111154957.0,2024,20080808,2629,,0,,,0,0,0,,,,,,,
(주)디에프텍,00505046,1101112564866.0,2024,20020710,33999,,0,,,0,0,0,,,,,,,
(주)라온테크,01463668,1101111257339.0,2024,20160225,25924,,0,,,0,0,0,,,,,,,
(주)라온텍,00965512,1101114285684.0,2024,20091013,262,,0,,,63,62,1,,,,,,,
