기업명,crno,dart_corp_code
(주) 디이에스,1101110939951,01824355
(주) 아이에스티,1101110921323,00592875
(주) 아인스시스템,1101111631070,00872902
(주) 에스 이 티,,01016035
(주) 에스제이케이,1101111259484,00366793
(주) 코미코,1211110309956,00997812
(주) 포톤,1101111724271,01047707
(주)경인양행,1101112148131,00102113
(주)광성테크,1201110449323,01416536
(주)구비테크,1648110088331,01154706
(주)그린테크놀로지,1101112481242,00817613
(주)글로벌엔지니어링,1101114335398,01560138
(주)금륜,1101111971012,01296084
(주)기연,1101110126816,00843496
(주)나노에이스,1615110088827,01017496
(주)나노엑스,1345110479649,01599176
(주)나노테크,1101112721911,01071494
(주)나노텍,1101110560410,00631271
(주)나인텍,1101111419343,01301492
(주)남원정공,1355110282900,01628380
(주)네올,1101110719108,00472951
(주)네패스,1101111474389,00227333
(주)넥사,1101113867821,01956733
(주)넥스틴,1344110044981,01080252
(주)뉴파워프라즈마,1101111784952,00521390
(주)다산,1101110174914,00637956
(주)대성하이텍,1211110163336,01160859
(주)대신테크,1101111217581,01073191
(주)대영테크,1101110774855,00453169
(주)대원에프엔씨,1101112183236,00579953
(주)도우인시스,1501110134952,01380578
(주)동원파츠,1101111420746,00784184
(주)동원하이텍,1201110625858,00968528
(주)동진쎄미켐,1201110003848,00118804
(주)두원테크,1101111644403,00366535
(주)드림솔,1101111349178,01808375
(주)디바이스,1101110656970,00624509
(주)디스텍,1101111154957,01552777
(주)디에프텍,1101112564866,00505046
(주)라온테크,1101111257339,01463668
(주)라온텍,1101114285684,00965512
(주)랩터,1101112255754,01950410
(주)루켄테크놀러지스,1348110145822,00886792
(주)리더스앤글로벌,1348110262288,01923656
(주)리빙케어,1101114973601,01834653
(주)린텍,1101110159437,01652873
(주)메티스,1101111860918,00607274
(주)무진산업,1158110001605,01376432
(주)바맥스,1101112485450,00621104
(주)바코솔루션,1348110387713,01832804
(주)밸류엔지니어링,1101111671133,01350489
(주)보부하이테크,1101111019987,00611268
(주)브이에스아이,1355110266772,00976235
(주)비츠로셀,1101110548771,00154718
(주)상아프론테크,1201110038209,00181299
(주)선익시스템,1101110700555,00327819
(주)성우,1101110029680,00132974
(주)세다,1101110032469,00621502
(주)세미즈,1358110159971,01450187
(주)세코닉스,1158110006449,00351630
(주)셀코스,1101114587395,01024308
(주)셈텍,1101117870630,01212578
(주)솔리더스,1101112243535,00546308
(주)스카,1101110034176,00446071
(주)시트라,1101111067944,01828698
(주)신안시스템,1201110340290,01409776
(주)신일테크,1101114198035,01297320
(주)싸이맥스,1311110153525,00659161
(주)쎄미하우,1211110098608,00655174
(주)쎌텍,1101111884728,01828795
(주)쏘닉스,1341110078407,00561723
(주)씨앤아이테크놀로지,1341110234017,01174922
(주)씨에스케이,1101111622524,00594299
(주)씨에스피,1101111631575,00451879
(주)씨엠티엑스,2841110111983,01529982
(주)씨티에스,1101110174815,01225633
(주)아론,1101110917819,00818010
(주)아센디아,1345110118859,01011386
(주)아이비스,1101110949416,01745191
(주)아이엔에스,1101110175467,00415725
(주)아이컴포넌트,1301110060490,00407285
(주)알파플러스,1101113235375,01130566
(주)애플티,1311110119204,01376025
(주)앤피에스,1101112244575,01471870
(주)에스아이,1101110088420,00247665
(주)에스앤에스텍,1101115817402,00411048
(주)에스에스피,1101111503451,00859053
(주)에스에이엠,1101110707674,00416432
(주)에스엔에프,1101110506216,00968847
(주)에스엠랩,2301110296432,01475274
(주)에스엠아이,1101110651904,00511959
(주)에스엠티,1101110838461,00960119
(주)에스와이텍,1101113267500,01412770
(주)에스이아이,1101111743990,00281739
(주)에스피반도체통신,1211110066499,00263168
(주)에이씨에스,1101111583536,00489924
(주)에이알케이,1101112046369,01382965
(주)에이앤아이,1101111183021,00611310
(주)에이엠에스티,1101111604043,00552628
(주)에이치앤이루자,1601110225361,00975546
(주)에이치에스테크놀로지,1101110162802,01279838
(주)에이티에스,1101110514441,01402287
(주)에코앤드림,1101113085598,00619640
(주)에코파워팩,1101116241725,01860755
(주)에프에스티,1101110546006,00223434
(주)에프테크놀로지,1101111957195,00584274
(주)엑시콘,1311110058402,00611736
(주)엔씨켐,1101114636639,00863533
(주)엔지온,1244110089476,00962269
(주)엔켐,1101111722803,01011526
(주)엔티에스,1101110800254,01461262
(주)엘앤에프,1101110665608,00398701
(주)엘에이티,1201110376633,01361245
(주)엘케이엔지니어링,1311110326700,01284441
(주)엘콤,1101111172793,01208973
(주)엠에스텍,1101111507560,01156661
(주)엠엑스앤,1358110210848,01230219
(주)엠케이테크,1101111889695,01736829
(주)엠플러스,1101110663769,00784713
(주)영상테크,1101112190819,01652518
(주)예리코코리아,1311110239903,01817498
(주)예스히팅테크닉스,1313110095096,01545865
(주)예승이엔지,1314110249485,01636097
(주)온새미로,1101113469130,01247422
(주)와이에이치이코퍼레이션,1244110268020,01516438
(주)와이컴,1101112140905,01285884
(주)울텍,1101112078388,00469513
(주)원익피앤이,1342110063894,00785475
(주)웨이브피아,1101113182378,01834149
(주)위드텍,1101112788630,01327454
(주)위지트,1101111373755,00258360
(주)윌비에스엔티,1243110027098,00622990
(주)유니젯,1101114269745,01634309
(주)유에스티,1101111338999,00390620
(주)유진테크,1101114496794,00531014
(주)은일,1101111908106,00534844
(주)이노맥스,1101115065150,00926984
(주)이노하이텍,1211110254812,00656544
(주)이솔루션,1101110718887,00967635
(주)이엔에프테크놀로지,1101111957195,00530185
(주)이엠앤아이,1101114895350,00475718
(주)정수이앤씨,1615110097430,01220586
(주)제우스,1101110338792,00442570
(주)제이디아이,1101112402652,01953231
(주)제이솔루션,1101112324468,01401385
(주)제이에스티,1101110569074,01372995
(주)제이오션,1101114595900,01304143
(주)제이이티,1101111817654,01823329
(주)제이지,1101111272634,00679721
(주)제일하이텍,1246110289014,01213160
(주)준테크,1101111693814,01142978
(주)지앤비에스 에코,1348110105579,00958327
(주)지에스엠,1101110734651,01060887
(주)진솔루션,1101111196496,01837100
(주)케이엔제이,1101110883713,00769158
(주)케이제이,1101110561773,01147308
(주)코스텍시스,1101111361859,00332839
(주)코윈디에스티,1201110382531,00815934
(주)큐에스아이,1101116641149,00411446
(주)큐엠씨,1101110953582,00816696
(주)탑텍,1101111540750,01152319
(주)태산에프에이,1355110258745,01371190
(주)테스,1101110542004,00837477
(주)텔레칩스,1101111799513,00423177
(주)토르,1101111206584,01913057
(주)토마스엔지니어링,1501110031728,01303621
(주)트리엔,1101111740368,01679931
(주)티에스,1101110118459,01154575
(주)티에스시,1101111577810,01560396
(주)티에스코퍼레이션,1101111896335,01755444
(주)티엠씨,1101111247356,01452219
(주)티오피,1101110613144,00348858
(주)티제이엠,1101111658959,01789034
(주)티티에스,1101111222043,01005507
(주)파크시스템,1101111397648,01657054
(주)풍산디에이케이,1311110300895,01497887
(주)풍산시스템,1301110059154,01014082
(주)프로텍,1101110589311,00325112
(주)플라스텍,1101112587751,01766246
(주)피앤엠,1101112347048,01384918
(주)피엔피,1101110363575,01012853
(주)피제이피테크,1358110106625,01369487
(주)피토,1101112028656,00976101
(주)필옵틱스,1351110088083,00938721
(주)하이원텍,1314110250888,01287970
(주)한도금속,1355110200100,01383991
(주)한올테크,1101110993405,00382597
(주)한일하이테크,1101110695382,00909455
(주)현명,1101111731309,01151338
(주)화인세라텍,1348110571184,01656338
H테크,1647110046109,01478332
㈜나노신소재,1601110094162,00439965
㈜나인테크,1101112052382,01302987
㈜넥스틴,1344110044981,01080252
㈜디엔에프,1101111548671,00569691
㈜레이크머티리얼즈,1101116525723,00861854
㈜베이스,1101110358443,01008081
㈜선재하이테크,1801110323955,00342182
㈜쎄노텍,1101115733509,00915784
㈜씨엔티솔루션,1314110266299,01552555
㈜아이에스시,1101113978834,01318678
㈜아이윈,1101111715527,00365624
㈜야스,1101111080954,00875307
㈜에버켐텍,1348110192021,01370252
㈜에이프로,1101110036396,01292486
㈜엠케이켐앤텍,1101111928021,00448811
㈜엠티아이,1101111240920,00298739
㈜오로스테크놀로지,1311110104403,01016479
㈜오이솔루션,2001110180384,00571483
㈜와이엠텍,1201110492223,01288331
㈜웨이비스,1348110407800,01270749
㈜이코니,1101117081287,00806051
㈜자람테크놀로지,1101111864829,01365038
㈜지아이텍,1101112222505,00663784
㈜코렌스알티엑스,1601110259089,01728866
㈜파크시스템스,1101111397648,00244747
㈜피엠티,1101110928147,00654175
가온솔루션 주식회사,1211110380302,01310135
글로벤스(주),1648110049656,01917044
기가비스주식회사,1345110078029,00765569
나래나노텍,1345110017746,00362122
네오마(주),1101112779431,01139530
네이션스,1101112463894,01070033
네패스 야하드,,00880354
넥스원,1101111516933,00428880
넥스트젠,1101112309791,01551671
넥스플렉스㈜,1101116827658,01385111
노바,1101110381858,00254179
대산지오텍 주식회사,1348110236655,01356164
대운테크,1211110137464,01073854
대주전자재료(주),1301110007616,00177816
더블유씨피 주식회사,1101116126430,01291317
드림메카텍,1348110251299,01157174
디에스이테크,1313110146691,01682670
디에이치,1101110085541,00678999
디에이치테크,1101111951676,01023187
램테크놀러지㈜,1345110053211,00654272
레이저쎌주식회사,1311110405091,01573381
레이트론(주),1341110444765,00666912
루츠,1101112802547,01794230
리드엔지니어링,1501110100896,01845066
멜콘(주),1311110107671,01028933
모아,1101110250706,00689746
미래첨단소재 주식회사,1501110270186,01651908
바테크(주),1101110608244,00846998
볼트크리에이션,1101115745380,01588356
부국산업 주식회사,1152110036629,00123754
브이에이디인스트루먼트,1311110397222,01527230
비나텍(주),1341110067418,00563518
비씨엔씨(주),1101112767064,01301623
비앤에스(주),1101110540397,01456835
비에스티(주),1101110613863,00894621
비에스피,1101110856455,01297870
비케이엠주식회사,1101115238161,01702099
비케이테크,1101112323775,01585331
빅트,1101111633365,00943592
삼화기업,1244110025149,00240723
상구정공(주),1101112016198,00867399
서울바이오시스 주식회사,1350110122156,00488402
성림첨단산업㈜,1701110075540,00454441
성무이엔지,1615110177688,01930841
성진세미텍(주),1350110091731,00580968
수퍼게이트 주식회사,1311110527530,01816806
시스템알앤디,1311110203081,01667033
시지트로닉스,2101110058935,01284751
신비앤텍 주식회사,1615110036545,00446479
신화인터텍(주),1348110011677,00228350
쎄믹스,1311110234226,00786492
쓰리에이로직스(주),1311110114733,00870065
쓰리에이로직스㈜,1311110114733,00870065
씨에스이주식회사,1101111780588,00511108
씨엔디플러스,1345110091998,01634831
씨엔원,1101114908509,01543353
씨티에스(주),1101110174815,01225633
아담스,1101111004748,00409715
아셈테크 (주),1101112492778,01333604
아이에스티이,1348110278748,01208751
아이엠에스(주),1101110527395,00479680
아이티에스,1101110233702,00532323
애니모션텍,1101113732347,01310791
어드밴스드웨이브,1358110114537,00886206
에너테크인터내셔널(주),1511110017032,00417538
에스브이에스주식회사,1313110020225,00873123
에스비이엔지,1101114706078,01300448
에스씨지주식회사,1101110613045,01005765
에스에프솔루션,1201111209594,01861505
에스엠에스 주식회사,1101110703921,01365214
에스엠피 주식회사,1101111675375,00884077
에스이엠주식회사,1101111338361,00612814
에스제이글로벌 주식회사,1101111975725,01583139
에스지엔 주식회사,1101110336150,01904952
에스케이실트론 주식회사,1101118298922,01677401
에스티엘(주),1101111502916,01449853
에이비시스템(주),1358110286922,00208967
에이에프씨,1101111963085,01097766
에이엔지(주),1101111163073,00586944
에이엠티주식회사,1101110707674,00304447
에이지디 주식회사,1314110241027,01651342
에이치앤에이치,1101111273244,01083897
에이치제이에스이엔지(주),1311110095123,01370164
에이치케이테크주식회사,1101115223526,01837386
에이치피케이,1101112801945,01792180
에이치피케이,1101112801945,01792180
에이텍,1101110593263,00368551
에이텍솔루션,1101116112801,00970259
에이티시스템 주식회사,1101111412321,00264006
에이티아이㈜,1101110675566,00395227
에이티이엔지,1311110120615,01763683
에코프로이노베이션,1101113273698,00965743
에프엔에스테크주식회사,1101113688277,00476036
엔비스아나㈜,1341110190938,01336009
엔에스티,1101111702631,00559339
엔에프에스,1101112200311,00984322
엔젯주식회사,1101112812067,01587056
엔터텍,1101111119969,01782484
엘림,1101110407498,00254072
엘에스텍,1101111531030,00824349
엘테크,1101110565577,01334241
엘티메탈  주식회사,1201110003567,00167341
엠에이티플러스㈜,1346110052394,01076301
엠엠티,1101116679405,01433074
엠케이피,1101116688919,01448429
영원이엔지,1101114945783,01212152
올니스,1801110791079,01629389
와이씨켐㈜,1701110202416,00619507
