기업명,연도,revenue_t1_scaled,cagr_2y_scaled,growth_recent_scaled,growth_acceleration_scaled,growth_volatility_scaled,operating_margin_scaled,capex_intensity_scaled,capex_trend_scaled,capex_vs_industry_scaled,debt_ratio_scaled,rnd_intensity_scaled,profitable_years,patent_count_5y,patent_count_recent,ipc_diversity,patent_register_rate,patent_citation_total,patent_citation_avg,patent_citation_age_adj_total,patent_citation_age_adj_avg,no_patent_flag,patent_emb_0,patent_emb_1,patent_emb_2,patent_emb_3,patent_emb_4,patent_emb_5,patent_emb_6,patent_emb_7,patent_emb_8,patent_emb_9,patent_emb_10,patent_emb_11,patent_emb_12,patent_emb_13,patent_emb_14,patent_emb_15,patent_emb_16,patent_emb_17,patent_emb_18,patent_emb_19,patent_emb_20,patent_emb_21,patent_emb_22,patent_emb_23,patent_emb_24,patent_emb_25,patent_emb_26,patent_emb_27,patent_emb_28,patent_emb_29,patent_emb_30,patent_emb_31,patent_emb_32,patent_emb_33,patent_emb_34,patent_emb_35,patent_emb_36,patent_emb_37,patent_emb_38,patent_emb_39,patent_emb_40,patent_emb_41,patent_emb_42,patent_emb_43,patent_emb_44,patent_emb_45,patent_emb_46,patent_emb_47,patent_emb_48,patent_emb_49,target_year,target_growth
(주)나노젯코리아,2019,-0.472424664,-0.008000996,-0.29368955,-0.242491125,-0.145826627,0.148565519,0.122188493,-0.227630304,0.13863822,1.313841658,0.331838521,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.349994799,0.150024532,0.453715762,0.509089015,0.366437745,0.492284533,0.348592215,0.459502803,0.527527234,0.339386069,0.415619159,0.534128796,0.53237029,0.538141276,0.435994317,0.419990798,0.462284779,0.450011692,0.455606576,0.42109515,0.428371245,0.569830055,0.415109255,0.464587788,0.43456444,0.475501803,0.53343034,0.48668092,0.483055164,0.410825902,0.467605931,0.431605724,0.386645433,0.59070066,0.494839867,0.490027992,0.438565853,0.463669476,0.416705236,0.445508285,0.416291604,0.393396472,0.400704116,0.452471284,0.475577398,0.417273384,0.472706019,0.427849876,0.42268448,0.48710346,2020,1
(주)다산이엔지,2019,-0.045892802,0.101611003,0.270380213,0.422407237,-0.255741926,0.145981702,-0.006064847,-0.155844078,0.342009826,-0.36614008,-0.21193134,1,-0.242238245,-0.257082061,-0.17801972,1.360374898,-0.333174129,-0.184623885,-0.339817031,-0.226244801,0,0.394610831,0.489892756,0.469909845,0.503597071,0.509742521,0.494550037,0.405569092,0.493127761,0.529356871,0.42507411,0.493301598,0.443384185,0.444552709,0.451492339,0.457493859,0.563606239,0.458149679,0.396243813,0.476182152,0.468289383,0.456464743,0.525604997,0.439552156,0.495705742,0.523383154,0.373204666,0.454299333,0.505322119,0.475401722,0.451831482,0.370744066,0.459025863,0.447127757,0.434154599,0.395169131,0.485398637,0.415279685,0.396696494,0.434592035,0.493640338,0.441724067,0.455933518,0.453680331,0.448495796,0.465466114,0.50346442,0.466835131,0.425234458,0.424053998,0.424257305,2020,0
(주)대백인터내쇼날,2019,-0.297434186,-0.321137711,0.058958075,0.430586836,-0.26258574,0.16553699,-0.203608228,-0.227630304,0.13863822,-0.272996095,-0.15040494,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.349994799,0.150024532,0.453715762,0.509089015,0.366437745,0.492284533,0.348592215,0.459502803,0.527527234,0.339386069,0.415619159,0.534128796,0.53237029,0.538141276,0.435994317,0.419990798,0.462284779,0.450011692,0.455606576,0.42109515,0.428371245,0.569830055,0.415109255,0.464587788,0.43456444,0.475501803,0.53343034,0.48668092,0.483055164,0.410825902,0.467605931,0.431605724,0.386645433,0.59070066,0.494839867,0.490027992,0.438565853,0.463669476,0.416705236,0.445508285,0.416291604,0.393396472,0.400704116,0.452471284,0.475577398,0.417273384,0.472706019,0.427849876,0.42268448,0.48710346,2020,0
(주)대성이엔티,2019,-0.073086486,-0.299600783,-0.247556005,0.041144565,-0.349523126,0.142765035,-0.244533707,-0.187073372,0.156642584,-0.216002512,-0.267153765,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.54287842,0.590619361,0.616781955,0.442852992,0.561288643,0.417483158,0.599380376,0.543397651,0.646123364,0.451375607,0.488041742,0.343534863,0.47152448,0.569383396,0.421583897,0.689885058,0.483982732,0.604058483,0.412758524,0.478189766,0.350047962,0.427739027,0.48271671,0.363103402,0.474727186,0.390198053,0.517365614,0.667021278,0.455128577,0.623924449,0.392760109,0.448739517,0.39811341,0.443383907,0.536685814,0.406285879,0.537088325,0.479747958,0.365256446,0.434287312,0.600821118,0.496012757,0.377710542,0.616088209,0.332913344,0.351048774,0.572930274,0.496867774,0.542197246,0.43550566,2020,0
(주)대양이티에스,2019,0.090573075,2.413954411,2.619927896,1.67170478,0.159151543,0.101936283,-0.281691765,-0.227630304,0.13863822,-0.221376925,-0.265983988,2,-0.242238245,-0.351696057,0.107056533,-0.136114064,-0.217153247,0.281024477,-0.288806437,-0.051368235,0,0.381887134,0.595427163,0.397654604,0.446066028,0.549927382,0.549784143,0.441535041,0.422524805,0.44733466,0.417316199,0.340036294,0.453779362,0.378142503,0.52099577,0.493506607,0.521654116,0.318227868,0.429335344,0.516252463,0.528822369,0.486231802,0.41149667,0.434026413,0.453778604,0.500895631,0.474572732,0.416453183,0.465544504,0.481679347,0.378396703,0.449268303,0.481667623,0.522557917,0.418183434,0.411802109,0.433742028,0.472253428,0.463015128,0.379331364,0.465804651,0.470873183,0.513752977,0.525604185,0.507779005,0.407401337,0.411078039,0.435228772,0.433988435,0.430716016,0.463920819,2020,0
(주)대영프로파일,2019,-0.712313226,0.178537751,-0.644977688,-1.058288997,-0.10862076,0.155281292,-0.073142751,-0.187073372,0.156642584,-0.198070382,-0.113301439,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.349994799,0.150024532,0.453715762,0.509089015,0.366437745,0.492284533,0.348592215,0.459502803,0.527527234,0.339386069,0.415619159,0.534128796,0.53237029,0.538141276,0.435994317,0.419990798,0.462284779,0.450011692,0.455606576,0.42109515,0.428371245,0.569830055,0.415109255,0.464587788,0.43456444,0.475501803,0.53343034,0.48668092,0.483055164,0.410825902,0.467605931,0.431605724,0.386645433,0.59070066,0.494839867,0.490027992,0.438565853,0.463669476,0.416705236,0.445508285,0.416291604,0.393396472,0.400704116,0.452471284,0.475577398,0.417273384,0.472706019,0.427849876,0.42268448,0.48710346,2020,0
(주)동성이엔씨,2019,-0.395497871,4.667632911,1.822321442,-1.414433247,0.578659478,0.142242818,0.807718301,-0.227630304,0.13863822,-0.339397351,1.346557963,2,-0.47602311,-0.446310052,-0.748172227,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,1,0.21700211,0.290461268,0.607043009,0.498586459,0.232556495,0.325924406,0.704646617,0.562956671,0.302496772,0.426296312,0.594085749,0.260079908,0.702621452,0.404735434,0.281446656,0.375888743,0.26025133,0.303297884,0.345543958,0.60365891,0.547510655,0.499107741,0.393128242,0.259361238,0.623745304,0.433042803,0.408637147,0.462049048,0.463913744,0.510808439,0.464470809,0.425452557,0.332518288,0.472356947,0.475719565,0.40424496,0.405959637,0.49935178,0.4616703,0.470100494,0.376448954,0.531906705,0.504081319,0.277638642,0.466512202,0.385474115,0.376809554,0.43352843,0.493145706,0.464171604,2020,1
(주)레이저앱스,2019,-1.467540235,4.667632911,5.593048368,4.608853828,3.579144382,0.041923387,0.907024363,-0.227630304,0.13863822,-0.360528745,1.493550538,0,-0.417576893,-0.351696057,-0.463095974,-0.884358544,-0.410521384,-0.029407765,-0.365322327,0.473261462,0,0.512478823,0.432722111,0.646173886,0.36082337,0.553847838,0.642823731,0.627900916,0.490114715,0.505226663,0.378258563,0.599707777,0.611623581,0.486145673,0.338676259,0.39253538,0.478554579,0.403233179,0.378803414,0.456586571,0.606965724,0.340099409,0.444389501,0.448004215,0.494861342,0.386557739,0.27689942,0.432859831,0.413026677,0.403259104,0.372226652,0.491985042,0.420483481,0.474178443,0.342962965,0.500081704,0.415978525,0.348316095,0.439794679,0.414788329,0.494223831,0.509632093,0.398391918,0.473451274,0.458788573,0.402595352,0.495208189,0.541238323,0.538353763,0.472068902,0.559142415,2020,1
(주)룩센테크놀러지,2019,-2.226855224,-1.246748075,2.671411645,2.901032285,0.356582548,0.179102806,3.250998577,-0.187073372,0.156642584,-0.13027198,2.870676745,1,-0.417576893,-0.351696057,-0.463095974,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,0,0.149970837,0.142159975,0.452337491,0.499401819,0.229734689,0.496951904,0.34857386,0.564233139,0.644313779,0.715012761,0.433903253,0.307091591,0.370813783,0.586770105,0.401061517,0.385013781,0.484969824,0.34934677,0.532345904,0.487480796,0.373200115,0.482078628,0.131360577,0.490517897,0.5476305,0.189023047,0.443885016,0.394746117,0.461741741,0.464014717,0.662247348,0.637157342,0.618849368,0.399384162,0.318307344,0.258933771,0.339119675,0.40331232,0.412914571,0.442718215,0.435021827,0.57462993,0.42534918,0.354047336,0.510888409,0.486086104,0.546198559,0.330424203,0.488251239,0.44694809,2020,1
(주)멘토티앤씨,2019,-0.110712186,-0.749699584,-0.888135665,-0.606544891,-0.213779748,0.15701644,-0.250701114,-0.187073372,0.156642584,-0.29146263,-0.272690054,2,-0.417576893,-0.351696057,-0.463095974,-0.884358544,-0.449195011,-0.650272248,-0.441838218,-0.575997932,0,0.255897212,0.568472631,0.294234726,0.440972392,0.534673967,0.479376399,0.413307269,0.460720279,0.478113602,0.279896701,0.474455978,0.408323585,0.306490339,0.340113119,0.439586887,0.543256544,0.419515951,0.430064462,0.385836429,0.410578389,0.444095616,0.507677535,0.438930258,0.423744832,0.480966833,0.509283054,0.365800125,0.485792502,0.492501807,0.442050323,0.400025863,0.526940298,0.353682141,0.438017852,0.325098808,0.412438433,0.460332485,0.398772144,0.524612164,0.51485031,0.44594378,0.530021276,0.505203274,0.427652175,0.515743707,0.440519301,0.419218295,0.383516324,0.417590278,0.444596182,2020,0
