기업명,연도,bsnsr_reg_no,crno,dart_corp_code,sectors,field,매출액,영업이익,당기순이익,자산,부채,자본,연구개발비,CAPEX,유형자산_당기,유형자산_전기,유형자산_증감,종업원_합계
(주) 아인스시스템,2019,135-86-40753,1.10E+12,872902,반도체,장비,"160,000,000,000","1,096,885,858","675,372,370","14,248,350,569","6,254,153,464","7,994,197,105",,"22,419,927","322,966,226","345,386,153","22,419,927",25
(주) 아인스시스템,2020,135-86-40753,1.10E+12,872902,반도체,장비,"162,000,000,000","1,716,059,015","1,294,421,223","14,270,865,624","4,982,247,296","9,288,618,328",,"231,274,548","91,691,678","322,966,226","231,274,548",25
(주) 아인스시스템,2021,135-86-40753,1.10E+12,872902,반도체,장비,"189,000,000,000","4,078,204,774","3,529,007,847","19,534,824,701","6,717,198,526","12,817,626,175",,"72,994,276","164,685,954","91,691,678","72,994,276",27
(주) 아인스시스템,2022,135-86-40753,1.10E+12,872902,반도체,장비,"190,000,000,000","1,181,539,212","282,821,199","17,883,799,429","4,883,352,055","13,000,447,374",,"35,667,638","129,018,316","164,685,954","35,667,638",27
(주) 아인스시스템,2023,135-86-40753,1.10E+12,872902,반도체,장비,"188,000,000,000","1,132,721,405","834,974,238","25,106,856,222","11,371,434,610","13,735,421,612",,"84,507,181","44,511,135","129,018,316","84,507,181",27
(주) 아인스시스템,2024,135-86-40753,1.10E+12,872902,반도체,장비,"215,000,000,000","1,185,888,283","480,215,562","25,253,535,488","11,137,898,314","14,115,637,174",,"1,034,398,837","1,078,909,972","44,511,135","1,034,398,837",27
(주) 코미코,2019,125-86-14826,1.21E+12,997812,반도체,부품,"173,000,000,000","34,516,950,100","22,778,849,983","292,000,000,000","170,000,000,000","122,000,000,000","5,265,840,000","56,613,518,875",,,,516
(주) 코미코,2020,125-86-14826,1.21E+12,997812,반도체,부품,"201,000,000,000","35,580,989,385","24,250,657,500","315,000,000,000","146,000,000,000","170,000,000,000","7,565,627,000","27,807,318,087",,,,559
(주) 코미코,2021,125-86-14826,1.21E+12,997812,반도체,부품,"257,000,000,000","58,833,840,737","47,150,017,421","376,000,000,000","154,000,000,000","222,000,000,000","9,472,418,000","54,072,570,119",,,,662
(주) 코미코,2022,125-86-14826,1.21E+12,997812,반도체,부품,"288,000,000,000","55,397,524,906","41,966,780,348","388,000,000,000","130,000,000,000","258,000,000,000","12,646,892,000","29,007,973,002",,,,737
